from_station,fare,transfer,time
こどもの国(愛知県),1166.6831683168316,1.900990099009901,0 days 01:42:52.574257425
りんくう常滑,995.3475935828877,1.1122994652406417,0 days 01:14:02.245989304
一ツ木,676.4864864864865,1.1486486486486487,0 days 01:05:55.405405405
七宝,676.0176991150443,1.075221238938053,0 days 00:58:01.592920353
三好ケ丘,951.2060301507538,1.8442211055276383,0 days 01:17:40.703517587
三柿野,859.4222222222222,1.2622222222222221,0 days 01:13:32.266666666
三河八橋,744.5754716981132,1.5235849056603774,0 days 01:00:22.641509433
三河知立,695.8293838862559,1.5260663507109005,0 days 00:56:07.109004739
三河高浜,889.906103286385,1.5446009389671362,0 days 01:13:02.535211267
三河鳥羽,1108.3743842364531,1.916256157635468,0 days 01:36:46.699507389
三河鹿島,1192.7322404371585,1.9234972677595628,0 days 01:49:26.229508196
上ゲ,785.056179775281,1.0,0 days 01:04:37.752808988
上丸渕,825.972850678733,1.669683257918552,0 days 01:20:20.633484162
上小田井,626.4795918367347,0.8418367346938775,0 days 00:49:45.918367346
上挙母,892.1198156682028,1.5345622119815667,0 days 01:11:55.852534562
上横須賀,1027.8971962616822,1.1168224299065421,0 days 01:19:17.943925233
上豊田,982.7272727272727,1.8038277511961722,0 days 01:22:12.631578947
上野間,1127.8260869565217,1.0978260869565217,0 days 01:21:34.891304347
上飯田,722.7179487179487,2.0,0 days 01:11:54.153846153
下小田井,600.1415094339623,1.0,0 days 00:50:01.981132075
不破一色,899.1071428571429,1.8392857142857142,0 days 01:17:54.642857142
中京競馬場前,612.2916666666666,0.8229166666666666,0 days 00:53:14.062500000
中小田井,612.8571428571429,1.0,0 days 00:50:40.571428571
中部国際空港(名古屋),1114.1871921182267,1.0,0 days 01:19:21.871921182
丸ノ内,618.8207547169811,1.2971698113207548,0 days 00:56:55.754716981
丸渕,822.1818181818181,1.6590909090909092,0 days 01:21:28.090909090
二ツ杁,619.1866028708134,0.8086124401913876,0 days 00:48:59.425837320
二十軒,837.4881516587677,1.3080568720379147,0 days 01:13:01.990521327
二子,769.9568965517242,1.668103448275862,0 days 01:09:29.741379310
五ノ三,880.3092783505155,1.0824742268041236,0 days 01:20:01.855670103
今伊勢,721.6814159292036,1.4115044247787611,0 days 01:04:27.610619469
伊奈,1115.981308411215,0.9439252336448598,0 days 01:13:43.738317757
住吉町,875.6497175141243,0.9717514124293786,0 days 01:05:34.237288135
佐屋,847.6106194690266,1.0619469026548674,0 days 01:13:05.575221238
八幡(愛知県),1151.2565445026178,1.057591623036649,0 days 01:25:43.664921465
八幡新田,760.1612903225806,1.2741935483870968,0 days 01:10:07.741935483
六軒(岐阜県),868.4888888888889,1.2622222222222221,0 days 01:14:09.866666666
六輪,807.7973568281939,1.6519823788546255,0 days 01:22:13.744493392
内海(愛知県),1210.3053435114505,1.015267175572519,0 days 01:25:04.580152671
切通,796.8780487804878,1.3170731707317074,0 days 01:10:38.926829268
刈谷,669.7350993377484,1.1655629139072847,0 days 00:50:32.185430463
刈谷市,782.927927927928,1.5315315315315314,0 days 01:05:18.648648648
前後,626.7816091954023,0.7931034482758621,0 days 00:47:34.827586206
加納(岐阜県),760.0975609756098,1.3317073170731708,0 days 01:06:49.463414634
勝幡,749.506726457399,1.0717488789237668,0 days 01:03:31.748878923
北安城,779.8695652173913,1.5565217391304347,0 days 01:04:29.478260869
北新川,935.6338028169014,1.5446009389671362,0 days 01:18:19.436619718
半田口,751.75,1.075,0 days 01:05:16.500000000
南加木屋,780.2551020408164,1.066326530612245,0 days 00:57:47.448979591
南安城,795.8695652173913,1.0217391304347827,0 days 01:00:20.543478260
南宿,872.0982142857143,1.8392857142857142,0 days 01:13:00.000000000
南桜井(愛知県),866.505376344086,0.9946236559139785,0 days 01:06:40.322580645
古見(愛知県),775.4314720812183,1.0710659898477157,0 days 01:03:01.218274111
可児川,988.019801980198,1.2128712871287128,0 days 01:25:59.108910891
各務原市役所前,854.0723981900453,1.253393665158371,0 days 01:14:42.624434389
吉浜(愛知県),855.7547169811321,1.5424528301886793,0 days 01:10:02.264150943
吉良吉田,1085.2830188679245,1.070754716981132,0 days 01:22:20.094339622
名和(愛知県),685.4661016949152,1.2457627118644068,0 days 01:00:32.542372881
名鉄一宮,675.8490566037735,0.7783018867924528,0 days 00:49:00.000000000
名鉄名古屋,569.3457943925233,0.40186915887850466,0 days 00:40:00.841121495
名鉄岐阜,750.5102040816327,0.6428571428571429,0 days 00:55:41.632653061
名電各務原,841.7129629629629,1.2453703703703705,0 days 01:11:36.944444444
名電山中,977.8181818181819,1.7,0 days 01:17:10.090909090
名電赤坂,1066.4545454545455,1.6772727272727272,0 days 01:27:24.818181818
名電長沢,1039.3055555555557,1.6851851851851851,0 days 01:25:17.777777777
味岡,820.7926829268292,1.7926829268292683,0 days 01:13:43.536585365
味美(名鉄線),866.0301507537688,1.9949748743718594,0 days 01:15:59.698492462
味鋺,833.8308457711443,2.0049751243781095,0 days 01:15:32.835820895
呼続,592.2222222222222,0.8383838383838383,0 days 00:53:03.030303030
善師野,908.780487804878,1.1560975609756097,0 days 01:20:02.341463414
国府(愛知県),1091.2068965517242,0.9396551724137931,0 days 01:06:39.568965517
国府宮,687.8111587982833,0.9141630901287554,0 days 00:49:08.755364806
土橋(愛知県),859.8190045248869,1.5475113122171946,0 days 01:09:49.411764705
坂部,757.2847682119206,1.185430463576159,0 days 01:07:33.377483443
堀内公園,840.6086956521739,1.626086956521739,0 days 01:11:21.130434782
堀田(名鉄線),564.5454545454545,0.5721925133689839,0 days 00:43:19.893048128
多屋,948.755980861244,1.555023923444976,0 days 01:21:16.650717703
大同町,615.5263157894736,1.1263157894736842,0 days 00:50:09.789473684
大山寺,664.3540669856459,1.0239234449760766,0 days 00:57:44.784688995
大江(愛知県),608.6802030456853,0.9847715736040609,0 days 00:44:48.730964467
大里,668.8085106382979,1.0680851063829788,0 days 00:57:39.063829787
大野町,873.4031413612565,1.0732984293193717,0 days 01:09:13.193717277
太田川,715.0970873786408,0.883495145631068,0 days 00:48:57.378640776
奥田,653.0555555555555,1.2592592592592593,0 days 01:01:46.388888888
奥町,763.0263157894736,1.7324561403508771,0 days 01:04:15.000000000
妙興寺,702.6666666666666,1.3688888888888888,0 days 00:59:53.333333333
宇頭,703.4228187919463,1.2348993288590604,0 days 00:58:15.704697986
富士松,667.2972972972973,1.1486486486486487,0 days 01:05:02.162162162
富岡前,875.5339805825242,1.1553398058252426,0 days 01:17:20.388349514
富貴,1017.7611940298508,0.9303482587064676,0 days 01:11:09.552238805
寺本,750.4926108374384,1.0738916256157636,0 days 01:00:16.551724137
小垣江,825.5405405405405,1.5315315315315314,0 days 01:07:54.864864864
小牧,808.1595092024539,1.8159509202453987,0 days 01:14:01.840490797
小牧原,821.1111111111111,1.7901234567901234,0 days 01:13:57.037037037
小牧口,865.0,1.9414893617021276,0 days 01:19:37.340425531
小田渕,1134.078947368421,1.8640350877192982,0 days 01:22:16.052631578
尾張横須賀,728.8038277511962,1.0239234449760766,0 days 00:55:11.196172248
山崎(愛知県),834.3589743589744,1.6666666666666667,0 days 01:16:48.461538461
山王(愛知県),589.1612903225806,0.6516129032258065,0 days 00:48:42.193548387
岐南,749.656862745098,1.3284313725490196,0 days 01:04:01.470588235
岡崎公園前,759.078947368421,1.2236842105263157,0 days 01:03:42.631578947
岩倉(愛知県),708.7214611872146,0.776255707762557,0 days 00:54:16.164383561
島氏永,649.0526315789474,1.2473684210526317,0 days 00:55:07.894736842
左京山,614.4444444444445,0.8055555555555556,0 days 00:54:51.333333333
巽ケ丘,814.829268292683,1.0146341463414634,0 days 01:00:29.853658536
市民公園前,837.6415094339623,1.3113207547169812,0 days 01:15:18.962264150
布袋,724.2487046632124,0.8238341968911918,0 days 00:57:03.730569948
常滑,953.9698492462312,1.0100502512562815,0 days 01:09:36.180904522
平戸橋,1002.8767123287671,1.6164383561643836,0 days 01:23:58.082191780
弥富,744.1176470588235,1.2605042016806722,0 days 01:09:07.058823529
形原,1179.5744680851064,1.8936170212765957,0 days 01:46:07.021276595
御嵩,1171.657458563536,1.9558011049723756,0 days 01:46:32.817679558
御嵩口,1162.5414364640883,1.9613259668508287,0 days 01:44:41.767955801
御油,1089.3087557603687,1.695852534562212,0 days 01:29:12.442396313
徳重・名古屋芸大,657.4162679425838,1.0239234449760766,0 days 00:56:41.052631578
成岩,857.483870967742,0.9870967741935484,0 days 01:05:28.645161290
手力,816.2380952380952,1.2857142857142858,0 days 01:12:46.000000000
扶桑,761.8048780487804,0.8195121951219512,0 days 01:00:33.365853658
新加納,821.7224880382776,1.2727272727272727,0 days 01:12:36.172248803
新可児,1053.5220125786163,1.0251572327044025,0 days 01:32:22.264150943
新安城,746.6981132075472,0.8113207547169812,0 days 00:51:06.226415094
新川橋,627.7682403433477,0.8841201716738197,0 days 00:56:27.038626609
新川町(愛知県),955.5399061032864,1.5446009389671362,0 days 01:21:43.943661971
新日鉄前,718.5232067510549,1.248945147679325,0 days 01:06:03.544303797
新木曽川,770.702479338843,0.9008264462809917,0 days 00:56:04.958677685
新清洲,635.9641255605382,0.9596412556053812,0 days 00:50:37.399103139
新羽島,999.3665158371041,1.83710407239819,0 days 01:27:30.407239819
新舞子,850.85,1.005,0 days 01:02:45.600000000
新那加,846.289592760181,1.257918552036199,0 days 01:14:21.447963800
新鵜沼,849.2982456140351,0.9035087719298246,0 days 01:06:03.157894736
日本ライン今渡,1020.8585858585859,1.2171717171717171,0 days 01:28:31.818181818
日比野(名古屋市営),740.7894736842105,1.3771929824561404,0 days 00:59:32.894736842
日進(愛知県),900.4455445544554,1.8712871287128714,0 days 01:14:07.128712871
日長,847.6548672566372,1.579646017699115,0 days 01:10:19.380530973
明智(名鉄線),1113.6756756756756,1.962162162162162,0 days 01:40:10.378378378
春日井(中央本線),797.2566371681415,1.3672566371681416,0 days 01:04:58.938053097
有松,630.0975609756098,0.8585365853658536,0 days 00:53:29.268292682
朝倉(愛知県),764.3069306930693,1.0148514851485149,0 days 00:57:41.584158415
木曽川堤,730.8653846153846,1.3365384615384615,0 days 01:05:25.673076923
木津用水,761.7777777777778,0.8888888888888888,0 days 01:02:35.666666666
木田,699.237668161435,1.0717488789237668,0 days 00:59:33.363228699
本宿(愛知県),994.5299145299145,0.9188034188034188,0 days 01:11:28.461538461
本星崎,616.685393258427,0.8033707865168539,0 days 00:58:17.865168539
本笠寺,577.6646706586827,0.7544910179640718,0 days 00:51:47.784431137
東岡崎,869.8237885462555,0.9118942731277533,0 days 00:58:55.770925110
東幡豆,1153.0882352941176,1.9019607843137254,0 days 01:40:50.294117647
東枇杷島,597.9372197309417,0.6278026905829597,0 days 00:48:31.479820627
柏森,778.6818181818181,0.7636363636363637,0 days 00:58:49.090909090
柳津(岐阜県),833.5714285714286,1.8392857142857142,0 days 01:09:42.321428571
柴田,669.1063829787234,1.2468085106382978,0 days 00:59:08.680851063
栄生,562.4870466321244,0.40932642487046633,0 days 00:42:27.046632124
桜(愛知県),587.1938775510204,0.8112244897959183,0 days 00:53:59.693877551
桜井(愛知県),845.3804347826087,1.0217391304347827,0 days 01:04:47.934782608
桜町前,915.0,0.9946236559139785,0 days 01:11:16.451612903
梅坪,939.8198198198198,1.2882882882882882,0 days 01:18:02.702702702
森上,836.8859649122807,1.6491228070175439,0 days 01:18:48.684210526
植大,743.3884297520661,1.0826446280991735,0 days 01:04:35.206611570
楽田,880.6511627906976,1.669767441860465,0 days 01:15:09.209302325
榎戸(愛知県),935.377358490566,1.5613207547169812,0 days 01:19:30.566037735
江南(愛知県),758.0,0.7636363636363637,0 days 00:57:07.909090909
江吉良,951.6591928251121,1.8385650224215246,0 days 01:24:15.874439461
河和,1104.7802197802198,1.054945054945055,0 days 01:17:07.912087912
河和口,1062.4725274725274,1.0604395604395604,0 days 01:13:22.417582417
津島,780.6849315068494,0.9954337899543378,0 days 01:06:29.589041095
浄水,1000.4186046511628,1.827906976744186,0 days 01:21:29.860465116
渕高,811.081081081081,1.6576576576576576,0 days 01:21:16.756756756
牛山,853.6548223350254,1.984771573604061,0 days 01:19:08.223350253
牛田(愛知県),673.1132075471698,1.169811320754717,0 days 00:56:13.584905660
犬山,815.3424657534247,0.6986301369863014,0 days 01:00:41.095890410
犬山口,768.7777777777778,0.8833333333333333,0 days 01:03:53.666666666
犬山遊園,848.3700440528635,0.9251101321585903,0 days 01:03:59.207048458
猿投,1022.8054298642534,1.6199095022624435,0 days 01:26:09.773755656
玉ノ井,787.9295154185022,1.7268722466960353,0 days 01:06:41.497797356
玉野,810.2164502164502,1.632034632034632,0 days 01:16:05.714285714
甚目寺,649.2,1.0711111111111111,0 days 00:55:31.733333333
田県神社前,820.3550295857988,1.757396449704142,0 days 01:13:25.207100591
田神,776.0,1.34,0 days 01:09:31.200000000
男川,839.7524752475248,1.0198019801980198,0 days 01:03:58.217821782
町方,792.2272727272727,1.6727272727272726,0 days 01:21:37.090909090
白沢(愛知県),736.8874172185431,1.185430463576159,0 days 01:05:55.629139072
矢作橋,756.020942408377,1.1099476439790577,0 days 01:02:42.094240837
知多半田,836.8862275449102,0.9221556886227545,0 days 01:01:12.215568862
知多奥田,1094.1538461538462,1.0153846153846153,0 days 01:17:13.846153846
知多武豊,978.9447236180905,0.9246231155778895,0 days 01:08:19.597989949
知立,677.6649746192893,0.6649746192893401,0 days 00:44:42.639593908
石仏,697.9190751445087,0.9421965317919075,0 days 00:58:53.757225433
石刀,726.4285714285714,1.3973214285714286,0 days 01:05:25.982142857
碧南,1002.3502304147465,1.5898617511520738,0 days 01:26:20.184331797
碧南中央,971.2093023255813,1.586046511627907,0 days 01:23:42.697674418
碧海古井,828.1739130434783,1.626086956521739,0 days 01:09:50.347826086
神宮前,574.974358974359,0.48717948717948717,0 days 00:38:32.923076923
福地,984.7196261682243,1.1168224299065421,0 days 01:15:51.308411214
稲荷口,1198.9583333333333,1.078125,0 days 01:31:48.750000000
竹村,817.6363636363636,1.5363636363636364,0 days 01:05:39.545454545
竹鼻,926.4732142857143,1.8392857142857142,0 days 01:20:39.642857142
笠松,803.974358974359,0.8632478632478633,0 days 00:57:22.820512820
米津,891.1827956989247,0.9946236559139785,0 days 01:08:43.225806451
米野木,914.2211055276382,1.8693467336683418,0 days 01:14:49.145728643
細畑,786.4039408866995,1.3152709359605912,0 days 01:09:57.931034482
美合,903.7946428571429,0.9107142857142857,0 days 01:05:01.339285714
美浜緑苑,1139.7267759562842,1.098360655737705,0 days 01:23:21.311475409
羽場(岐阜県),821.933962264151,1.3113207547169812,0 days 01:10:39.905660377
羽島市役所前,942.3214285714286,1.8392857142857142,0 days 01:22:36.964285714
羽黒(愛知県),864.8868778280543,1.660633484162896,0 days 01:13:54.027149321
聚楽園,655.4022988505748,1.0057471264367817,0 days 00:49:59.310344827
苅安賀,747.4889867841409,1.6607929515418502,0 days 01:05:47.048458149
若林(愛知県),785.4418604651163,1.544186046511628,0 days 01:04:11.162790697
苧ケ瀬,828.6792452830189,1.3113207547169812,0 days 01:11:40.471698113
茶所,757.156862745098,1.3284313725490196,0 days 01:06:11.176470588
萩原(愛知県),785.240174672489,1.6593886462882097,0 days 01:10:50.043668122
蒲池(愛知県),922.5700934579439,1.560747663551402,0 days 01:18:08.411214953
蒲郡,1028.1818181818182,1.1515151515151516,0 days 01:03:05.454545454
蒲郡競艇場前,1026.6233766233765,1.2857142857142858,0 days 01:20:47.922077922
藤川,889.3532338308457,1.0149253731343284,0 days 01:09:02.985074626
藤浪,764.3049327354261,1.0717488789237668,0 days 01:05:16.143497757
西ノ口,898.4976525821596,1.5633802816901408,0 days 01:15:41.971830985
西一宮,705.0438596491229,1.7324561403508771,0 days 00:59:20.263157894
西可児,961.5270935960591,1.206896551724138,0 days 01:23:48.472906403
西尾,937.1891891891892,0.9945945945945946,0 days 01:12:42.810810810
西尾口,945.9565217391304,1.6347826086956523,0 days 01:22:23.739130434
西幡豆,1126.3902439024391,1.9024390243902438,0 days 01:38:17.560975609
西春,646.3768115942029,0.8357487922705314,0 days 00:52:27.536231884
西枇杷島,617.1244635193133,0.8841201716738197,0 days 00:53:58.454935622
西浦,1180.974358974359,1.8923076923076922,0 days 01:44:47.384615384
西笠松,804.1071428571429,1.8392857142857142,0 days 01:06:39.910714285
観音寺(愛知県),736.2666666666667,1.6488888888888888,0 days 01:04:01.600000000
諏訪町,1183.6082474226805,1.0670103092783505,0 days 01:29:31.237113402
豊川稲荷,1170.7142857142858,1.4387755102040816,0 days 01:34:34.897959183
豊明,645.8115183246073,0.9214659685863874,0 days 00:52:27.329842931
豊橋,1192.5118483412323,0.95260663507109,0 days 01:14:18.199052132
豊田市,881.8279569892474,1.3602150537634408,0 days 01:11:23.225806451
豊田本町,611.7842323651453,1.2406639004149378,0 days 00:49:18.921161825
赤池(愛知県),739.0229885057471,1.8735632183908046,0 days 01:11:50.000000000
越戸,984.2465753424658,1.6255707762557077,0 days 01:22:03.287671232
道徳,625.0,1.2375,0 days 00:50:29.250000000
重原,729.6428571428571,1.5357142857142858,0 days 00:59:14.196428571
野間,1134.5801526717557,1.0305343511450382,0 days 01:20:19.236641221
金山(愛知県),571.0,0.4,0 days 00:38:02.181818181
長浦(愛知県),814.7368421052631,1.5921052631578947,0 days 01:07:37.368421052
開明,738.590308370044,1.7268722466960353,0 days 01:02:00.000000000
間内,875.1530612244898,1.9489795918367347,0 days 01:19:37.653061224
阿久比,854.9253731343283,0.9054726368159204,0 days 00:58:45.970149253
青塚,726.9058295964126,1.0717488789237668,0 days 01:01:51.121076233
青山(愛知県),927.7720207253886,0.9222797927461139,0 days 01:04:04.663212435
須ケ口,622.1800947867299,0.7725118483412322,0 days 00:47:31.279620853
須賀,884.6428571428571,1.8392857142857142,0 days 01:16:35.357142857
顔戸,1133.7362637362637,1.9615384615384615,0 days 01:43:00.659340659
高横須賀,729.3969849246231,1.3266331658291457,0 days 01:09:01.206030150
高浜港,907.3708920187794,1.5446009389671362,0 days 01:16:06.478873239
高田橋,820.8018867924528,1.2830188679245282,0 days 01:13:09.905660377
鳴海,592.7840909090909,0.6647727272727273,0 days 00:44:02.727272727
鵜沼宿,812.5,1.3113207547169812,0 days 01:09:27.735849056
黒田(愛知県),720.4830917874397,1.3333333333333333,0 days 01:03:45.797101449
黒笹,955.4,1.86,0 days 01:16:29.400000000
